Year,Covariance Factor 1,Covariance Factor 2,Covariance Factor 3
1927,-0.0566181917534059,-0.115337861918159,1.45050900286873
1928,0.432384058583732,0.448983237674828,1.75471360721842
1929,-0.417672625069993,-0.816354666827568,-0.918313444753954
1930,-0.322476933657743,-1.08712952160374,-1.53838947388524
1931,-1.22719569456471,-1.61357285680418,-2.19349082505266
1932,-0.128645835055337,-0.512020009500594,-0.473547582302349
1933,2.02058375292783,4.08941556513521,2.75672555974688
1934,0.164827845705263,0.481513959811884,0.116904812401642
1935,0.81629710332396,3.34716737315631,2.18501873220345
1936,0.794902245416961,2.7228358593581,1.54234913702369
1937,-0.912450678850907,-2.40293887751525,-1.70287626766808
1938,-0.20100027533276,1.58608908682007,1.37733480373062
1939,0.25062501222324,0.302779430994821,0.136733851781473
1940,-0.677340367657664,-0.542557988997198,-0.392348686857397
1941,-0.288184841588722,-0.529913970921433,-0.522391668737108
1942,0.12500121903806,0.606344615573578,0.775996438776075
1943,-0.306116530810005,0.656973531918554,1.37247087672604
1944,-0.151243002260059,0.901335040017228,1.01245980601999
1945,-0.0100387993730151,0.978971876647715,1.90185243874116
1946,0.190898881950421,0.150035894103241,-0.343721835114693
1947,-0.15978686993478,0.112900571656312,0.153063355854923
1948,0.111858219481266,-0.163075363473087,0.0496081501735499
1949,-0.454820588852565,0.843952338122775,0.957731114250453
1950,-0.454080053870328,0.229215061540809,1.43346506633974
1951,-0.472519797555497,0.51535032724926,0.949069736487905
1952,-0.367469696868288,0.408453636918467,0.57938653209414
1953,0.458251849280807,0.239096484056402,-0.0346485034415706
1954,-2.02250839309544,0.708429882234046,2.4464002582416
1955,-1.36512482608845,0.21003666746776,1.21606465377262
1956,0.153588193772162,-0.164511479026817,0.266537194223738
1957,0.728855021335878,-0.198486232534293,-0.640447667639908
1958,-2.93912584009289,0.0272277086775682,2.19947706499654
1959,-0.179120960358451,0.290609443460497,0.502620817932179
1960,-0.100714556123392,-0.369986755911084,-0.0622183110181435
1961,-1.25348917488188,-0.313947600240623,1.19249681549805
1962,0.685500433034547,0.282413613559175,-0.639477422788999
1963,-1.21922869567861,0.0112054823921102,0.892138727055739
1964,-0.956472099652082,0.0202424720464393,0.613793670553799
1965,-0.0707218323408253,-0.0286811980791952,0.512369648566297
1966,1.20088397634165,0.223683846220651,-0.658832225385968
1967,-1.15001000361743,-0.259542720644214,1.20429200230372
1968,-0.451884573397115,0.141018777622211,0.412945506824297
1969,1.48805737168757,0.406401633305317,-0.831987208234888
1970,0.647221665298515,0.280488843293467,-0.341650492390779
1971,-1.29576854721044,-0.078766092748566,0.609420497440696
1972,-0.954334061878374,-0.190566856359355,0.645158563534122
1973,2.12550572927965,0.989331807609132,-1.33347570094587
1974,3.29935938459228,1.10568722806599,-1.81287301916774
1975,-2.14605647606416,-0.766571421797433,1.5796939915286
1976,-2.06898947275589,-0.755519613024206,1.11115831563303
1977,0.507317006755132,0.696269296081988,-0.405534553511308
1978,0.333343814988966,-0.321860571325208,0.0658683036427356
1979,-0.63846243298967,0.186961908771577,0.646066416464529
1980,-0.402271170902127,-0.785125219574798,1.10727635394499
1981,0.943973377855637,1.05180017241722,-0.90130620774902
1982,-0.556458890061253,-0.228623179743858,0.542937596414141
1983,-0.557338095549265,-0.482112416424387,0.707295623868138
1984,0.140499934266652,0.40672501417667,-0.355523626862846
1985,-0.251840037256084,-0.547355090807195,1.30264952307868
1986,-0.173690087293928,0.0670928650361683,0.509211188638825
1987,0.525230295416721,0.636511118458223,-0.203820195720375
1988,0.377921014554653,-0.252009190633915,0.550038723344733
1989,0.0481816677643158,-0.661792951108302,1.02953106455972
1990,0.0574351921966874,0.651523635058994,-0.712164813413947
1991,0.718144309489836,-0.867368395009996,1.4565220897117
1992,0.937671576977126,0.156275507593046,0.327937344533777
1993,0.0168011794100116,-0.59691249406517,0.398466662953662
1994,-0.300639883239702,0.195369503081222,-0.176487967371371
1995,1.0915911733942,-1.49772967507225,1.51029584728809
1996,0.451099863601899,-0.404956131106171,0.823512628942801
1997,0.585044841664,-1.31144648404628,1.31071599660749
1998,0.776827505848499,-0.95412962229747,0.947565729366943
1999,0.83631231758775,-0.401504365561206,1.01355120726493
2000,-0.129153729269611,1.11609734400763,-0.883706236498171
2001,-0.518940349312084,1.29177182089632,-0.735036611760915
2002,-1.36182294875006,1.42843863727348,-1.10720954033852
2003,1.69310602125939,-1.67119559922346,1.51698495934313
2004,0.747947327431676,-0.197753535501456,0.51650428838482
2005,-0.0173337535903046,0.113612377974566,0.14863238068267
2006,0.92033356447786,-0.275336252944248,0.514310827077712
2007,0.156338506435514,-0.293177280929608,0.0471080701611836
2008,-1.49892269530412,2.56405900151554,-1.91937324223875
2009,1.29670771235582,-1.39275771906718,1.43269331199554
2010,0.724108993739401,-0.910139745428915,0.857997842424353
2011,-0.387187645885683,0.0770226722127616,0.0175737712497512
2012,1.44481456871006,-0.311280062399489,0.808362566878616
2013,2.07277573296474,-2.01586081444301,1.72616444357121
2014,0.465337931792438,-0.29410761537866,0.574140084719079
2015,-0.0292523924591337,0.159679735049913,-0.0180436551584435
2016,0.967103188450502,-0.438633286690673,0.667593121555867
2017,1.02011110796249,-0.953125443067478,1.00239870171649
2018,-0.474563482511507,0.135260626596875,-0.347945525996197
2019,1.23945067906451,-1.56500025006808,1.39338845641393
2020,1.51565634392329,-1.10857930972581,1.15985355002138
2021,1.39614715711973,-0.291467970365833,1.16865106369197
2022,-0.898776760802454,0.805666112326918,-1.09372070595206
2023,0.914678859409658,-0.634205352103581,1.05406501908264
2024,0.879463828892205,-0.755691821015967,0.928854873353374
